,T (K),U (eV),F (eV),S (eV/K)
1007,1307.0,-2.842170943040401e-14,-0.2972331891491249,0.00022741636507200846
1008,1308.0,2.842170943040401e-14,-0.2974606055141969,0.00022741636507200846
1009,1309.0,-0.0,-0.2976880218792689,0.00022741636507203622
1010,1310.0,-2.842170943040401e-14,-0.29791543824434097,0.00022741636507203622
1011,1311.0,-0.0,-0.298142854609413,0.00022741636507200846
1012,1312.0,2.842170943040401e-14,-0.298370270974485,0.00022741636507200846
1013,1313.0,2.842170943040401e-14,-0.298597687339557,0.00022741636507200846
1014,1314.0,-0.0,-0.298825103704629,0.00022741636507200846
1015,1315.0,-0.0,-0.299052520069701,0.00022741636507200846
1016,1316.0,-5.684341886080802e-14,-0.299279936434773,0.00022741636507200846
1017,1317.0,2.842170943040401e-14,-0.29950735279984503,0.00022741636507203622
1018,1318.0,-0.0,-0.2997347691649171,0.00022741636507203622
1019,1319.0,-2.842170943040401e-14,-0.2999621855299891,0.00022741636507200846
1020,1320.0,2.842170943040401e-14,-0.3001896018950611,0.00022741636507200846
1021,1321.0,-0.0,-0.3004170182601331,0.00022741636507200846
1022,1322.0,5.684341886080802e-14,-0.3006444346252051,0.00022741636507203622
1023,1323.0,2.842170943040401e-14,-0.3008718509902772,0.00022741636507203622
1024,1324.0,-2.842170943040401e-14,-0.3010992673553492,0.0002274163650719807
1025,1325.0,-0.0,-0.30132668372042115,0.00022741636507200846
1026,1326.0,2.842170943040401e-14,-0.3015541000854932,0.00022741636507203622
1027,1327.0,2.842170943040401e-14,-0.3017815164505652,0.00022741636507200846
1028,1328.0,-0.0,-0.30200893281563723,0.00022741636507200846
1029,1329.0,-0.0,-0.30223634918070924,0.00022741636507200846
1030,1330.0,-2.842170943040401e-14,-0.30246376554578125,0.00022741636507203622
1031,1331.0,-0.0,-0.3026911819108533,0.00022741636507203622
1032,1332.0,2.842170943040401e-14,-0.3029185982759253,0.00022741636507200846
1033,1333.0,-0.0,-0.30314601464099733,0.00022741636507200846
1034,1334.0,-0.0,-0.30337343100606934,0.00022741636507200846
1035,1335.0,-2.842170943040401e-14,-0.30360084737114135,0.00022741636507200846
1036,1336.0,-2.842170943040401e-14,-0.30382826373621336,0.00022741636507200846
1037,1337.0,2.842170943040401e-14,-0.30405568010128536,0.00022741636507200846
1038,1338.0,2.842170943040401e-14,-0.3042830964663574,0.00022741636507200846
1039,1339.0,2.842170943040401e-14,-0.3045105128314294,0.00022741636507203622
1040,1340.0,-0.0,-0.30473792919650144,0.00022741636507203622
1041,1341.0,-0.0,-0.30496534556157345,0.00022741636507200846
1042,1342.0,-0.0,-0.30519276192664546,0.00022741636507200846
1043,1343.0,2.842170943040401e-14,-0.30542017829171747,0.00022741636507200846
1044,1344.0,2.842170943040401e-14,-0.3056475946567895,0.00022741636507203622
1045,1345.0,-2.842170943040401e-14,-0.30587501102186154,0.00022741636507200846
1046,1346.0,-0.0,-0.3061024273869335,0.0002274163650719807
1047,1347.0,-0.0,-0.3063298437520055,0.00022741636507203622
1048,1348.0,-0.0,-0.30655726011707757,0.00022741636507203622
1049,1349.0,-0.0,-0.3067846764821496,0.00022741636507200846
1050,1350.0,2.842170943040401e-14,-0.3070120928472216,0.00022741636507200846
1051,1351.0,2.842170943040401e-14,-0.3072395092122936,0.00022741636507200846
1052,1352.0,2.842170943040401e-14,-0.3074669255773656,0.00022741636507203622
1053,1353.0,2.842170943040401e-14,-0.30769434194243767,0.00022741636507203622
1054,1354.0,-0.0,-0.3079217583075097,0.00022741636507200846
1055,1355.0,2.842170943040401e-14,-0.3081491746725817,0.00022741636507200846
1056,1356.0,2.842170943040401e-14,-0.3083765910376537,0.00022741636507200846
1057,1357.0,-2.842170943040401e-14,-0.3086040074027257,0.00022741636507200846
1058,1358.0,-0.0,-0.3088314237677977,0.00022741636507200846
1059,1359.0,-0.0,-0.3090588401328697,0.00022741636507200846
1060,1360.0,-2.842170943040401e-14,-0.3092862564979417,0.00022741636507200846
1061,1361.0,-0.0,-0.30951367286301373,0.00022741636507203622
1062,1362.0,-2.842170943040401e-14,-0.3097410892280858,0.00022741636507203622
1063,1363.0,2.842170943040401e-14,-0.3099685055931578,0.00022741636507200846
1064,1364.0,-0.0,-0.3101959219582298,0.00022741636507200846
1065,1365.0,-0.0,-0.3104233383233018,0.00022741636507200846
1066,1366.0,-0.0,-0.31065075468837383,0.00022741636507203622
1067,1367.0,2.842170943040401e-14,-0.3108781710534459,0.00022741636507200846
1068,1368.0,-0.0,-0.31110558741851785,0.0002274163650719807
1069,1369.0,-0.0,-0.31133300378358986,0.00022741636507203622
1070,1370.0,5.684341886080802e-14,-0.3115604201486619,0.00022741636507203622
1071,1371.0,-2.842170943040401e-14,-0.31178783651373393,0.00022741636507200846
1072,1372.0,2.842170943040401e-14,-0.31201525287880594,0.00022741636507200846
1073,1373.0,-5.684341886080802e-14,-0.31224266924387795,0.00022741636507200846
1074,1374.0,-0.0,-0.31247008560894995,0.00022741636507203622
1075,1375.0,-0.0,-0.312697501974022,0.00022741636507203622
1076,1376.0,2.842170943040401e-14,-0.312924918339094,0.00022741636507200846
1077,1377.0,-0.0,-0.31315233470416604,0.00022741636507200846
1078,1378.0,2.842170943040401e-14,-0.31337975106923804,0.00022741636507200846
1079,1379.0,2.842170943040401e-14,-0.31360716743431005,0.00022741636507200846
1080,1380.0,2.842170943040401e-14,-0.31383458379938206,0.00022741636507200846
1081,1381.0,2.842170943040401e-14,-0.31406200016445407,0.00022741636507200846
1082,1382.0,2.842170943040401e-14,-0.3142894165295261,0.00022741636507203622
1083,1383.0,-2.842170943040401e-14,-0.31451683289459814,0.00022741636507203622
