,T (K),U (eV),F (eV),S (eV/K)
82,382.0,7.549831632935877e-05,-0.058990396389746534,0.00015462275525242666
83,383.0,7.719325894584017e-05,-0.05914502134464795,0.00015462718635024866
84,384.0,7.891711697460835e-05,-0.05929965076244703,0.0001546316812914804
85,385.0,8.067020520741153e-05,-0.05945428470723091,0.00015463624056274647
86,386.0,8.245283922825308e-05,-0.059608923243572524,0.00015464086464894722
87,387.0,8.426533540806247e-05,-0.0597635664365288,0.00015464555403322047
88,388.0,8.610801086916808e-05,-0.059918214351638965,0.0001546503091969624
89,389.0,8.798118345865191e-05,-0.06007286705492273,0.000154655130619661
90,390.0,8.98851717252569e-05,-0.06022752461287829,0.00015466001877892724
91,391.0,9.182029489451793e-05,-0.06038218709248058,0.00015466497415045008
92,392.0,9.378687283501108e-05,-0.06053685456117919,0.00015466999720792005
93,393.0,9.578522605480089e-05,-0.06069152708689642,0.00015467508842301192
94,394.0,9.781567564637328e-05,-0.06084620473802521,0.00015468024826531881
95,395.0,9.987854328841195e-05,-0.06100088758342706,0.00015468547720232442
96,396.0,0.00010197415120316577,-0.06115557569242986,0.00015469077569934403
97,397.0,0.00010410282213868527,-0.06131026913482575,0.00015469614421949676
98,398.0,0.00010626487932796636,-0.061464967980868854,0.00015470158322365354
99,399.0,0.00010846064649250309,-0.061619672301273055,0.0001547070931704267
100,400.0,0.00011069044780143145,-0.06177438216720971,0.00015471267451607623
101,401.0,0.00011295460782534406,-0.06192909765030521,0.00015471832771449257
102,402.0,0.00011525345155583011,-0.06208381882263869,0.00015472405321719299
103,403.0,0.0001175873043468556,-0.062238545756739594,0.00015472985147323148
104,404.0,0.0001199564918952234,-0.062393278525585155,0.0001547357229291918
105,405.0,0.00012236134021392786,-0.06254801720259798,0.00015474166802913192
106,406.0,0.0001248021756357076,-0.06270276186164342,0.00015474768721455284
107,407.0,0.00012727932473666215,-0.06285751257702708,0.00015475378092438125
108,408.0,0.00012979311435934449,-0.06301226942349218,0.00015475994959491396
109,409.0,0.00013234387155947047,-0.06316703247621691,0.00015476619365975552
110,410.0,0.00013493192359348427,-0.06332180181081169,0.0001547725135498737
111,411.0,0.00013755759789013666,-0.06347657750331666,0.00015477890969348151
112,412.0,0.00014022122201851062,-0.06363135963019866,0.00015478538251598173
113,413.0,0.00014292312368979765,-0.06378614826834862,0.000154791932440064
114,414.0,0.00014566363068979626,-0.06394094349507878,0.00015479855988553837
115,415.0,0.00014844307090022824,-0.0640957453881197,0.00015480526526937682
116,416.0,0.00015126177224900061,-0.06425055402561754,0.0001548120490056787
117,417.0,0.00015412006268178402,-0.06440536948613106,0.00015481891150557342
118,418.0,0.00015701827016201264,-0.06456019184862868,0.00015482585317729697
119,419.0,0.00015995672261936988,-0.06471502119248565,0.00015483287442610155
120,420.0,0.0001629357479444593,-0.06486985759748089,0.00015483997565420016
121,421.0,0.00016595567396393562,-0.06502470114379405,0.00015484715726082898
122,422.0,0.00016901682840142485,-0.06517955191200255,0.0001548544196421156
123,423.0,0.0001721195388775243,-0.06533440998307828,0.00015486176319111367
124,424.0,0.00017526413286894638,-0.06548927543838477,0.000154869188297789
125,425.0,0.00017845093769430775,-0.06564414835967386,0.00015487669534896414
126,426.0,0.0001816802804945894,-0.0657990288290827,0.00015488428472829746
127,427.0,0.00018495248817984589,-0.06595391692913045,0.00015489195681625545
128,428.0,0.00018826788745585077,-0.06610881274271521,0.00015489971199010577
129,429.0,0.00019162680475837135,-0.06626371635311067,0.00015490755062386868
130,430.0,0.0001950295662656032,-0.06641862784396295,0.00015491547308835174
131,431.0,0.00019847649785198485,-0.06657354729928737,0.00015492347975106652
132,432.0,0.00020196792505977612,-0.06672847480346508,0.00015493157097621474
133,433.0,0.00020550417310261082,-0.0668834104412398,0.00015493974712470215
134,434.0,0.00020908556683707502,-0.06703835429771449,0.00015494800855408997
135,435.0,0.0002127124307165218,-0.06719330645834798,0.00015495635561857402
136,436.0,0.00021638508880528207,-0.06734826700895163,0.00015496478866901253
137,437.0,0.00022010386473070298,-0.067503236035686,0.00015497330805285675
138,438.0,0.00022386908167248976,-0.06765821362505735,0.0001549819141141301
139,439.0,0.00022768106234316576,-0.06781319986391426,0.00015499060719344204
140,440.0,0.00023154012895432174,-0.06796819483944423,0.00015499938762795346
141,441.0,0.00023544660322016853,-0.06812319863917017,0.00015500825575139043
142,442.0,0.0002394008063095754,-0.06827821135094701,0.00015501721189397494
143,443.0,0.00024340305883896463,-0.06843323306295812,0.00015502625638245948
144,444.0,0.0002474536808705352,-0.06858826386371193,0.0001550353895400855
145,445.0,0.00025155299184653757,-0.06874330384203829,0.00015504461168656947
146,446.0,0.00025570131060703716,-0.06889835308708507,0.00015505392313810984
147,447.0,0.0002598989553597164,-0.06905341168831451,0.00015506332420736624
148,448.0,0.0002641462436567821,-0.0692084797354998,0.00015507281520343863
149,449.0,0.000268443492378978,-0.06936355731872139,0.00015508239643183264
150,450.0,0.00027279101771782166,-0.06951864452836347,0.00015509206819451504
151,451.0,0.0002771891351489586,-0.06967374145511042,0.00015510183078983053
152,452.0,0.0002816381594161754,-0.06982884818994313,0.00015511168451255025
153,453.0,0.00028613840451718886,-0.06998396482413552,0.00015512162965384407
154,454.0,0.00029069018368765853,-0.07013909144925082,0.00015513166650121812
155,455.0,0.00029529380936921257,-0.07029422815713796,0.0001551417953385842
156,456.0,0.00029994959319878944,-0.07044937503992799,0.00015515201644621113
157,457.0,0.00030465784600153256,-0.07060453219003038,0.0001551623301007249
158,458.0,0.0003094188777517104,-0.07075969970012944,0.00015517273657511543
159,459.0,0.0003142329975638347,-0.07091487766318061,0.00015518323613868817
160,460.0,0.00031910051368555514,-0.07107006617240681,0.00015519382905709866
161,461.0,0.00032402173346568475,-0.0712252653212948,0.00015520451559231097
162,462.0,0.0003289969633435419,-0.07138047520359143,0.00015521529600264622
163,463.0,0.0003340265088347394,-0.0715356959133001,0.00015522617054276877
164,464.0,0.0003391106745027628,-0.07169092754467697,0.0001552371394635682
165,465.0,0.0003442497639554176,-0.07184617019222723,0.00015524820301230507
166,466.0,0.00034944407983061865,-0.07200142395070158,0.00015525936143256924
167,467.0,0.0003546939237573099,-0.07215668891509237,0.0001552706149641897
168,468.0,0.0003599995963625702,-0.07231196518062996,0.00015528196384334558
169,469.0,0.000365361397246744,-0.07246725284277906,0.0001552934083025037
170,470.0,0.0003707796249727835,-0.07262255199723497,0.0001553049485704186
171,471.0,0.00037625457704493215,-0.0727778627399199,0.0001553165848721394
172,472.0,0.00038178654988030303,-0.07293318516697925,0.000155328317428996
173,473.0,0.0003873758388337478,-0.0730885193747779,0.0001553401464586615
174,474.0,0.000393022738133908,-0.07324386545989657,0.0001553520721750551
175,475.0,0.0003987275409116364,-0.073399223519128,0.0001553640947883836
176,476.0,0.00040449053915025956,-0.07355459364947334,0.00015537621450517625
177,477.0,0.0004103120236855773,-0.07370997594813836,0.00015538843152822224
178,478.0,0.0004161922842165211,-0.07386537051252978,0.000155400746056647
179,479.0,0.0004221316092376526,-0.07402077744025165,0.00015541315828585672
180,480.0,0.00042813028606403236,-0.0741761968291015,0.00015542566840751754
181,481.0,0.00043418860081345656,-0.07433162877706669,0.0001554382766096457
182,482.0,0.00044030683839224594,-0.07448707338232079,0.00015545098307653132
183,483.0,0.0004464852824490606,-0.07464253074321975,0.0001554637879887799
184,484.0,0.00045272421542819075,-0.07479800095829835,0.00015547669152331245
185,485.0,0.0004590239184913969,-0.07495348412626637,0.00015548969385334455
186,486.0,0.00046538467153567353,-0.07510898034600504,0.00015550279514842114
187,487.0,0.00047180675318969634,-0.07526448971656322,0.0001555159955744026
188,488.0,0.0004782904407640842,-0.07542001233715384,0.00015552929529346476
189,489.0,0.00048483601028337375,-0.07557554830715014,0.00015554269446414054
190,490.0,0.0004914437364540447,-0.07573109772608212,0.00015555619324127828
191,491.0,0.0004981138926396511,-0.0758866606936327,0.00015556979177606955
192,492.0,0.0005048467508750321,-0.07604223730963426,0.000155583490216063
193,493.0,0.0005116425818414427,-0.07619782767406483,0.00015559728870512268
194,494.0,0.0005185016548310273,-0.0763534318870445,0.00015561118738353225
195,495.0,0.0005254242377858986,-0.07650905004883189,0.0001556251863879185
196,496.0,0.0005324105972519533,-0.07666468225982034,0.00015563928585124454
197,497.0,0.0005394609983859766,-0.07682032862053438,0.00015565348590288602
198,498.0,0.0005465757049201159,-0.07697598923162612,0.00015566778666861736
199,499.0,0.0005537549791831964,-0.07713166419387162,0.00015568218827059777
200,500.0,0.0005609990820651944,-0.07728735360816731,0.00015569669082739213
201,501.0,0.0005683082730065792,-0.0774430575755264,0.00015571129445396403
202,502.0,0.0005756828100231814,-0.07759877619707524,0.00015572599926172437
203,503.0,0.0005831229496564561,-0.07775450957404985,0.0001557408053584966
204,504.0,0.000590628946980587,-0.07791025780779223,0.00015575571284854456
205,505.0,0.0005982010555918293,-0.07806602099974694,0.00015577072183260016
206,506.0,0.0006058395276049566,-0.07822179925145743,0.00015578583240782873
207,507.0,0.0006135446136283917,-0.0783775926645626,0.0001558010446678984
208,508.0,0.0006213165627606543,-0.07853340134079323,0.0001558163587029246
209,509.0,0.0006291556226081241,-0.07868922538196844,0.00015583177459951164
210,510.0,0.0006370620392281978,-0.07884506488999225,0.00015584729244079443
211,511.0,0.0006450360571683689,-0.07900091996685003,0.0001558629123064037
212,512.0,0.0006530779194307001,-0.07915679071460506,0.00015587863427250076
213,513.0,0.0006611878674540606,-0.07931267723539503,0.00015589445841175664
214,514.0,0.0006693661411460994,-0.07946857963142857,0.00015591038479340763
215,515.0,0.0006776129788335084,-0.07962449800498185,0.0001559264134832622
216,516.0,0.0006859286172762324,-0.0797804324583951,0.00015594254454368017
217,517.0,0.0006943132916568118,-0.07993638309406921,0.00015595877803358665
218,518.0,0.0007027672355732761,-0.08009235001446227,0.00015597511400854136
219,519.0,0.0007112906810426978,-0.0802483333220863,0.0001559915525206762
220,520.0,0.0007198838584621114,-0.08040433311950362,0.00015600809361876466
221,521.0,0.0007285469966262781,-0.08056034950932382,0.00015602473734822875
222,522.0,0.0007372803227276847,-0.08071638259420008,0.00015604148375106958
223,523.0,0.000746084062338781,-0.08087243247682596,0.00015605833286601312
224,524.0,0.0007549584393906628,-0.08102849925993211,0.00015607528472843385
225,525.0,0.0007639036761943885,-0.08118458304628283,0.0001560923393703964
226,526.0,0.0007729199934338737,-0.0813406839386729,0.00015610949682067637
227,527.0,0.0007820076101303641,-0.08149680203992418,0.00015612675710475338
228,528.0,0.0007911667436601988,-0.08165293745288241,0.000156144120244818
229,529.0,0.0008003976097583632,-0.08180909028041382,0.00015616158625982035
230,530.0,0.0008097004224829618,-0.08196526062540205,0.00015617915516547703
231,531.0,0.000819075394232982,-0.08212144859074477,0.00015619682697427806
232,532.0,0.000828522735734083,-0.0822776542793506,0.00015621460169549378
233,533.0,0.0008380426560492538,-0.08243387779413576,0.00015623247933516798
234,534.0,0.0008476353625539446,-0.08259011923802094,0.00015625045989619418
235,535.0,0.0008573010609396192,-0.08274637871392815,0.00015626854337830176
236,536.0,0.0008670399551959918,-0.08290265632477754,0.0001562867297780629
237,537.0,0.0008768522476323426,-0.08305895217348427,0.00015630501908889954
238,538.0,0.0008867381388704132,-0.08321526636295534,0.00015632341130111804
239,539.0,0.0008966978278053261,-0.08337159899608651,0.00015634190640190226
240,540.0,0.0009067315116553232,-0.08352795017575915,0.00015636050437538296
241,541.0,0.0009168393858978163,-0.08368432000483728,0.00015637920520259613
242,542.0,0.0009270216443191259,-0.08384070858616434,0.00015639800886151772
243,543.0,0.0009372784789931643,-0.08399711602256031,0.00015641691532711222
244,544.0,0.0009476100802494614,-0.08415354241681856,0.00015643592457124933
245,545.0,0.0009580166367193499,-0.08430998787170281,0.00015645503656283588
246,546.0,0.0009684983353110965,-0.08446645248994424,0.00015647425126780884
247,547.0,0.0009790553611743746,-0.08462293637423843,0.0001564935686490937
248,548.0,0.0009896878977500023,-0.08477943962724242,0.00015651298866665997
249,549.0,0.0010003961267415207,-0.08493596235157175,0.0001565325112775351
250,550.0,0.001011180228125852,-0.08509250464979749,0.00015655213643584603
251,551.0,0.0010220403801142197,-0.08524906662444344,0.00015657186409275686
252,552.0,0.0010329767591947814,-0.085405648377983,0.0001565916941965867
253,553.0,0.00104398954012197,-0.08556225001283661,0.00015661162669279582
254,554.0,0.0010550788958667567,-0.0857188716313686,0.0001566316615239094
255,555.0,0.0010662449977054678,-0.08587551333588443,0.00015665179862968392
256,556.0,0.0010774880151203092,-0.08603217522862797,0.00015667203794701712
257,557.0,0.0010888081158633156,-0.08618885741177847,0.00015669237941001724
258,558.0,0.0011002054659350335,-0.086345559987448,0.00015671282295001004
259,559.0,0.0011116802295774164,-0.08650228305767849,0.000156733368495518
260,560.0,0.001123232569277377,-0.08665902672443904,0.00015675401597233657
261,561.0,0.0011348626457774458,-0.08681579108962316,0.0001567747653035273
262,562.0,0.001146570618033138,-0.08697257625504609,0.0001567956164094178
263,563.0,0.0011583566432733505,-0.087129382322442,0.00015681656920764342
264,564.0,0.001170220876961281,-0.08728620939346138,0.00015683762361317494
265,565.0,0.0011821634727873231,-0.08744305756966834,0.00015685877953827698
266,566.0,0.001194184582690383,-0.08759992695253793,0.00015688003689258434
267,567.0,0.0012062843568472204,-0.08775681764345351,0.00015690139558312277
268,568.0,0.00121846294368666,-0.08791372974370418,0.00015692285551430207
269,569.0,0.0012307204898540647,-0.08807066335448212,0.00015694441658792302
270,570.0,0.0012430571402468615,-0.08822761857688002,0.00015696607870320511
271,571.0,0.0012554730380109902,-0.08838459551188853,0.0001569878417568421
272,572.0,0.0012679683245053752,-0.08854159426039371,0.00015700970564294647
273,573.0,0.001280543139355217,-0.08869861492317442,0.00015703167025314657
274,574.0,0.0012931976203987006,-0.0888556576009,0.00015705373547656581
275,575.0,0.0013059319037331818,-0.08901272239412755,0.00015707590119980186
276,576.0,0.0013187461237009757,-0.0891698094032996,0.0001570981673070515
277,577.0,0.001331640412860935,-0.08932691872874166,0.0001571205336800066
278,578.0,0.0013446149020381881,-0.08948405047065962,0.00015714300019795124
279,579.0,0.0013576697202779542,-0.08964120472913756,0.00015716556673776166
280,580.0,0.0013708049949059387,-0.08979838160413514,0.00015718823317390634
281,581.0,0.001384020851450174,-0.08995558119548537,0.00015721099937850147
282,582.0,0.0013973174137120736,-0.09011280360289214,0.0001572338652212832
283,583.0,0.0014106948037166944,-0.09027004892592794,0.00015725683056965617
284,584.0,0.0014241531417589215,-0.09042731726403146,0.00015727989528871444
285,585.0,0.0014376925463785994,-0.09058460871650537,0.0001573030592412275
286,586.0,0.001451313134364085,-0.09074192338251391,0.00015732632228771665
287,587.0,0.0014650150207558,-0.0908992613610808,0.0001573496842864064
288,588.0,0.0014787983188462306,-0.09105662275108672,0.0001573731450932661
289,589.0,0.0014926631401870338,-0.09121400765126733,0.00015739670456209331
290,590.0,0.001506609594585484,-0.09137141616021091,0.00015742036254440955
291,591.0,0.001520637790118684,-0.09152884837635615,0.00015744411888957144
292,592.0,0.0015347478331193543,-0.09168630439799005,0.00015746797344475677
293,593.0,0.0015489398281687272,-0.09184378432324566,0.0001574919260549923
294,594.0,0.0015632138781462857,-0.09200128825010004,0.0001575159765631884
295,595.0,0.0015775700841764717,-0.09215881627637204,0.00015754012481009744
296,596.0,0.0015920085456571087,-0.09231636849972023,0.00015756437063437628
297,597.0,0.0016065293602700592,-0.0924739450176408,0.0001575887138726209
